,0
0,605.0
1,1052.0
2,755.0
3,633.0
4,616.0
5,712.0
6,644.0
7,546.0
8,557.0
9,819.0
10,1104.0
11,542.0
12,378.0
13,853.0
14,799.0
15,562.0
16,728.0
17,640.0
18,490.0
19,701.0
20,449.0
21,667.0
22,556.0
23,379.0
24,379.0
25,612.0
26,618.0
27,1163.0
28,430.0
29,879.0
30,493.0
31,557.0
32,626.0
33,582.0
34,787.0
35,624.0
36,354.0
37,348.0
38,601.0
39,763.0
40,892.0
41,679.0
42,395.0
43,713.0
44,710.0
45,372.0
46,1091.0
47,510.0
48,638.0
49,836.0
50,1065.0
51,397.0
52,671.0
53,414.0
54,1448.0
55,346.0
56,586.0
57,381.0
58,631.0
59,697.0
60,409.0
61,611.0
62,655.0
63,608.0
64,566.0
65,558.0
66,411.0
67,815.0
68,358.0
69,487.0
70,830.0
71,556.0
72,826.0
73,949.0
74,721.0
75,395.0
76,505.0
77,648.0
78,690.0
79,723.0
80,609.0
81,729.0
82,539.0
83,369.0
84,788.0
85,803.0
86,744.0
87,628.0
88,607.0
89,593.0
90,993.0
91,364.0
92,338.0
93,642.0
94,715.0
95,1244.0
96,390.0
97,390.0
98,451.0
99,397.0
